N1 CO2 Raw,N1 CO2 Avg,N2 CO2 Raw,N2 CO2 Avg,CO2 Comb Raw,CO2 Comb Avg,CO2 Max Raw,CO2 Max Avg,N1 TVOC Raw,N1 TVOC Avg,N2 TVOC Raw,N2 TVOC Avg,TVOC Comb Raw,TVOC Comb Avg,TVOC Max Raw,TVOC Max Avg,No. People
425,452,456,478,440.5,465,456,481,3,7,8,11,5.5,9,8,12,0
425,452,454,478,439.5,465,454,481,3,7,8,11,5.5,9,8,12,0
482,452,454,478,468,465,482,481,12,7,8,11,10,9,12,12,0
482,452,456,478,469,465,482,481,12,7,8,11,10,9,12,12,0
477,452,456,478,466.5,465,477,481,11,7,8,11,9.5,9,11,12,0
477,453,481,478,479,465,481,481,11,7,12,11,11.5,9,12,12,0
477,453,477,478,477,465,477,481,11,8,11,11,11,9,11,12,0
422,453,477,478,449.5,465,477,481,3,8,11,11,7,9,11,12,0
422,453,456,478,439,465,456,481,3,7,8,11,5.5,9,8,12,0
425,452,456,478,440.5,465,456,481,3,7,8,11,5.5,9,8,12,0
482,452,456,478,469,465,482,481,12,7,8,11,10,9,12,12,0
482,452,481,478,481.5,465,482,481,12,7,12,11,12,9,12,12,0
477,453,481,478,479,465,481,481,11,8,12,11,11.5,9,12,12,0
482,453,481,478,481.5,465,482,481,12,8,12,11,12,9,12,12,0
482,453,477,478,479.5,465,482,481,12,8,11,11,11.5,9,12,12,0
425,453,477,478,451,465,477,481,3,8,11,11,7,9,11,12,0
425,453,461,478,443,465,461,481,3,8,9,11,6,9,9,12,0
425,453,454,478,439.5,465,454,481,3,7,8,11,5.5,9,8,12,0
425,452,456,477,440.5,465,456,481,3,7,8,11,5.5,9,8,12,0
425,452,473,477,449,465,473,481,3,7,11,11,7,9,11,12,0
482,452,473,477,477.5,465,482,481,12,7,11,11,11.5,9,12,12,0
477,453,473,477,475,465,477,481,11,7,11,11,11,9,11,12,0
477,453,477,477,477,465,477,481,11,8,11,11,11,9,11,12,0
477,453,481,477,479,465,481,481,11,8,12,11,11.5,9,12,12,0
422,453,481,477,451.5,465,481,481,3,7,12,11,7.5,9,12,12,0
422,453,477,477,449.5,465,477,481,3,7,11,11,7,9,11,12,0
422,452,456,477,439,465,456,481,3,7,8,11,5.5,9,8,12,0
432,452,456,477,444,465,456,480,4,7,8,11,6,9,8,12,0
487,452,456,477,471.5,465,487,480,13,7,8,11,10.5,9,13,12,0
482,453,456,477,469,465,482,480,12,7,8,11,10,9,12,12,0
482,453,461,477,471.5,465,482,480,12,8,9,11,10.5,9,12,12,0
482,453,477,477,479.5,465,482,481,12,8,11,11,11.5,9,12,12,0
477,453,477,477,477,465,477,481,11,8,11,11,11,9,11,12,0
422,453,477,477,449.5,465,477,481,3,8,11,11,7,9,11,12,0
422,453,481,477,451.5,465,481,481,3,8,12,11,7.5,9,12,12,0
422,453,477,477,449.5,465,477,481,3,7,11,11,7,9,11,12,0
422,453,456,477,439,465,456,481,3,7,8,11,5.5,9,8,12,0
425,453,456,477,440.5,465,456,480,3,7,8,11,5.5,9,8,12,0
425,453,461,477,443,465,461,480,3,7,9,11,6,9,9,12,0
482,453,461,477,471.5,465,482,480,12,8,9,11,10.5,9,12,12,0
477,453,461,477,469,465,477,480,11,8,9,11,10,9,11,12,0
477,453,487,477,482,465,487,481,11,8,13,11,12,9,13,12,0
477,453,481,477,479,465,481,480,11,8,12,11,11.5,9,12,12,0
422,453,481,476,451.5,465,481,480,3,8,12,11,7.5,9,12,12,0
425,453,481,476,453,465,481,480,3,8,12,11,7.5,9,12,12,0
425,453,456,476,440.5,465,456,480,3,8,8,11,5.5,9,8,12,0
482,453,456,476,469,465,482,480,12,8,8,11,10,9,12,12,0
482,454,465,476,473.5,465,482,480,12,8,9,11,10.5,9,12,12,0
482,454,487,476,484.5,465,487,480,12,8,13,11,12.5,9,13,12,0
477,454,487,476,482,465,487,480,11,8,13,11,12,9,13,12,0
477,454,481,476,479,465,481,480,11,8,12,11,11.5,9,12,12,0
416,454,481,476,448.5,465,481,480,2,8,12,11,7,9,12,12,0
422,454,481,476,451.5,465,481,480,3,8,12,11,7.5,9,12,12,0
422,454,461,476,441.5,465,461,480,3,8,9,11,6,9,9,12,0
422,453,465,476,443.5,465,465,480,3,8,9,11,6,9,9,12,0
482,454,465,476,473.5,465,482,480,12,8,9,11,10.5,9,12,12,0
477,454,465,475,471,465,477,480,11,8,9,11,10,9,11,12,0
477,454,461,475,469,465,477,480,11,8,9,11,10,9,11,12,0
477,455,487,475,482,465,487,480,11,8,13,11,12,9,13,12,0
416,454,487,475,451.5,465,487,480,2,8,13,11,7.5,9,13,12,0
422,454,487,475,454.5,465,487,480,3,8,13,11,8,9,13,12,0
422,454,461,475,441.5,465,461,480,3,8,9,11,6,9,9,12,0
422,454,465,475,443.5,464,465,480,3,8,9,11,6,9,9,12,0
477,454,465,475,471,464,477,480,11,8,9,11,10,9,11,12,0
477,454,473,475,475,464,477,479,11,8,11,11,11,9,11,12,0
473,454,473,475,473,464,473,479,11,8,11,11,11,9,11,12,0
473,454,492,475,482.5,465,492,479,11,8,14,11,12.5,9,14,12,0
416,454,492,475,454,465,492,479,2,8,14,11,8,9,14,12,0
422,454,492,475,457,465,492,480,3,8,14,11,8.5,9,14,12,0
422,454,465,475,443.5,464,465,479,3,8,9,11,6,9,9,12,0
477,454,465,475,471,464,477,479,11,8,9,11,10,9,11,12,0
477,454,473,475,475,464,477,479,11,8,11,11,11,9,11,12,0
477,454,492,475,484.5,465,492,479,11,8,14,11,12.5,9,14,12,0
473,455,492,475,482.5,465,492,479,11,8,14,11,12.5,9,14,12,0
416,455,492,475,454,465,492,479,2,8,14,11,8,9,14,12,0
416,455,473,475,444.5,465,473,479,2,8,11,11,6.5,9,11,12,0
422,454,473,475,447.5,465,473,479,3,8,11,11,7,9,11,12,0
477,454,473,475,475,464,477,479,11,8,11,11,11,9,11,12,0
482,454,473,475,477.5,464,482,479,12,8,11,11,11.5,9,12,12,0
482,455,477,474,479.5,465,482,479,12,8,11,11,11.5,9,12,12,0
477,455,477,474,477,465,477,479,11,8,11,11,11,9,11,12,0
477,455,495,475,486,465,495,479,11,8,14,11,12.5,9,14,12,0
477,455,492,475,484.5,465,492,479,11,8,14,11,12.5,9,14,12,0
422,455,492,475,457,465,492,479,3,8,14,11,8.5,9,14,12,0
422,455,473,475,447.5,465,473,479,3,8,11,11,7,9,11,12,0
422,454,477,475,449.5,464,477,479,3,8,11,11,7,9,11,12,0
425,454,477,474,451,464,477,479,3,8,11,11,7,9,11,12,0
425,454,473,474,449,464,473,479,3,8,11,11,7,9,11,12,0
482,455,473,474,477.5,465,482,479,12,8,11,11,11.5,9,12,12,0
482,455,495,474,488.5,465,495,479,12,8,14,11,13,9,14,12,0
477,455,495,474,486,465,495,479,11,8,14,11,12.5,9,14,12,0
477,455,492,474,484.5,465,492,479,11,8,14,11,12.5,9,14,12,0
416,454,492,474,454,464,492,479,2,8,14,11,8,9,14,12,0
425,454,492,475,458.5,464,492,479,3,8,14,11,8.5,9,14,12,0
425,454,473,474,449,464,473,479,3,8,11,11,7,9,11,12,0
425,454,465,474,445,464,465,479,3,8,9,11,6,9,9,12,0
425,454,473,474,449,464,473,479,3,8,11,11,7,9,11,12,0
487,454,473,474,480,464,487,479,13,8,11,11,12,9,13,12,0
487,454,477,474,482,464,487,479,13,8,11,11,12,9,13,12,0
482,454,477,474,479.5,464,482,479,12,8,11,11,11.5,9,12,12,0
422,454,477,474,449.5,464,477,479,3,8,11,11,7,9,11,12,0
422,454,492,474,457,464,492,479,3,8,14,11,8.5,9,14,12,0
425,454,492,474,458.5,464,492,479,3,8,14,11,8.5,9,14,12,0
425,455,465,474,445,464,465,479,3,8,9,11,6,9,9,12,0
432,454,465,474,448.5,464,465,479,4,8,9,11,6.5,9,9,12,0
487,454,465,474,476,464,487,479,13,8,9,11,11,9,13,12,0
487,454,473,474,480,464,487,479,13,8,11,11,12,9,13,12,0
482,454,473,474,477.5,464,482,479,12,8,11,11,11.5,9,12,12,0
482,454,492,474,487,464,492,479,12,8,14,11,13,9,14,12,0
477,455,492,474,484.5,464,492,479,11,8,14,11,12.5,9,14,12,0
422,455,492,474,457,464,492,479,3,8,14,11,8.5,9,14,12,0
425,455,492,474,458.5,464,492,479,3,8,14,11,8.5,9,14,12,0
425,455,461,474,443,464,461,479,3,8,9,11,6,9,9,12,0
425,455,465,473,445,464,465,478,3,8,9,11,6,9,9,12,0
482,455,465,473,473.5,464,482,478,12,8,9,11,10.5,9,12,12,0
482,455,487,473,484.5,464,487,478,12,8,13,11,12.5,9,13,12,0
482,455,492,473,487,464,492,478,12,8,14,11,13,9,14,12,0
425,455,492,473,458.5,464,492,478,3,8,14,11,8.5,9,14,12,0
425,455,487,473,456,464,487,478,3,8,13,11,8,9,13,12,0
425,455,465,473,445,464,465,478,3,8,9,11,6,9,9,12,0
425,455,461,473,443,464,461,478,3,8,9,11,6,9,9,12,0
487,455,461,473,474,464,487,478,13,8,9,11,11,9,13,12,0
487,455,473,473,480,464,487,478,13,8,11,11,12,9,13,12,0
487,455,487,473,487,464,487,478,13,8,13,11,13,9,13,12,0
477,455,487,473,482,464,487,478,11,8,13,11,12,9,13,12,0
425,455,487,473,456,464,487,478,3,8,13,11,8,9,13,12,0
432,455,487,473,459.5,464,487,478,4,8,13,11,8.5,9,13,12,0
432,455,465,473,448.5,464,465,478,4,8,9,11,6.5,9,9,12,0
487,455,465,473,476,464,487,478,13,8,9,11,11,9,13,12,0
487,455,492,473,489.5,464,492,478,13,8,14,11,13.5,9,14,12,0
482,455,492,473,487,464,492,478,12,8,14,11,13,9,14,12,0
482,455,487,473,484.5,464,487,478,12,8,13,11,12.5,9,13,12,0
425,455,487,473,456,464,487,478,3,8,13,11,8,9,13,12,0
425,455,461,473,443,464,461,478,3,8,9,11,6,9,9,12,0
432,455,461,473,446.5,464,461,478,4,8,9,11,6.5,9,9,12,0
487,455,461,473,474,464,487,478,13,8,9,11,11,9,13,12,0
487,455,465,473,476,464,487,478,13,8,9,11,11,9,13,12,0
482,455,465,473,473.5,464,482,478,12,8,9,11,10.5,9,12,12,0
482,455,481,473,481.5,464,482,478,12,8,12,11,12,9,12,12,0
432,455,481,473,456.5,464,481,478,4,8,12,11,8,9,12,12,0
425,455,481,473,453,464,481,478,3,8,12,11,7.5,9,12,12,0
432,455,481,473,456.5,464,481,478,4,8,12,11,8,9,12,12,0
432,455,456,473,444,464,456,478,4,8,8,11,6,9,8,11,0
